Date,Arbitrum ($),zkSync Era ($),Base ($),Blast ($),OP Mainnet ($)
2022-11-16,8128.35,,,,4514.38
2022-11-17,7132.10,,,,-269010.29
2022-11-18,7099.78,,,,-648.94
2022-11-19,9931.41,,,,7586.92
2022-11-20,10866.55,,,,7764.44
2022-11-21,11189.66,,,,8035.87
2022-11-22,11648.98,,,,-30771.28
2022-11-23,10300.09,,,,8975.12
2022-11-24,8519.21,,,,-1417020.16
2022-11-25,8498.47,,,,-4169739.78
2022-11-26,7792.73,,,,-264738.87
2022-11-27,7061.12,,,,6007.61
2022-11-28,7928.71,,,,-691585.78
2022-11-29,8749.37,,,,-101071.65
2022-11-30,10070.52,,,,-92273.92
2022-12-01,9005.09,,,,6889.69
2022-12-02,9104.85,,,,7658.27
2022-12-03,8284.22,,,,6768.94
2022-12-04,9151.54,,,,8407.26
2022-12-05,8086.22,,,,8493.52
2022-12-06,7175.36,,,,-41997.96
2022-12-07,6882.89,,,,6971.95
2022-12-08,8115.50,,,,10321.82
2022-12-09,1096.32,,,,-142932.41
2022-12-10,5620.40,,,,10906.03
2022-12-11,5769.84,,,,10798.56
2022-12-12,8397.69,,,,10641.91
2022-12-13,13252.48,,,,18631.60
2022-12-14,12932.74,,,,19129.91
2022-12-15,13149.67,,,,-7365685.61
2022-12-16,11869.09,,,,14665.22
2022-12-17,9697.73,,,,13761.95
2022-12-18,8662.91,,,,9903.14
2022-12-19,8622.16,,,,7087.17
2022-12-20,10661.97,,,,19184.96
2022-12-21,10463.32,,,,17945.44
2022-12-22,9785.22,,,,14227.39
2022-12-23,9493.40,,,,8456.38
2022-12-24,10939.31,,,,9382.43
2022-12-25,9322.74,,,,11060.28
2022-12-26,8347.57,,,,-273971.39
2022-12-27,8307.43,,,,12530.65
2022-12-28,8648.90,,,,17156.25
2022-12-29,7438.80,,,,16168.81
2022-12-30,9863.90,,,,17552.13
2022-12-31,7591.14,,,,12613.53
2023-01-01,5184.98,,,,7724.54
2023-01-02,6844.60,,,,-86268.91
2023-01-03,9753.74,,,,15347.67
2023-01-04,11650.61,,,,18189.10
2023-01-05,8412.53,,,,-401678.84
2023-01-06,9140.33,,,,22572.74
2023-01-07,7789.94,,,,23033.23
2023-01-08,8189.02,,,,-296502.68
2023-01-09,12168.35,,,,-1441433.72
2023-01-10,11281.03,,,,-40517.16
2023-01-11,12218.98,,,,26858.50
2023-01-12,15131.16,,,,25678.49
2023-01-13,11855.27,,,,40120.67
2023-01-14,14792.10,,,,42838.14
2023-01-15,13085.85,,,,30147.13
2023-01-16,13398.53,,,,33753.87
2023-01-17,13657.08,,,,-2421.65
2023-01-18,13052.53,,,,11070.05
2023-01-19,11337.23,,,,3508.92
2023-01-20,13068.19,,,,-1885917.25
2023-01-21,14249.64,,,,6341.17
2023-01-22,13980.28,,,,3612.93
2023-01-23,13960.72,,,,4246.64
2023-01-24,11039.01,,,,3239.26
2023-01-25,15323.31,,,,8251.73
2023-01-26,18831.77,,,,4778.59
2023-01-27,19281.82,,,,4804.94
2023-01-28,15457.71,,,,-20843.05
2023-01-29,18875.41,,,,2469.49
2023-01-30,20235.22,,,,3382.27
2023-01-31,11238.43,,,,3383.98
2023-02-01,13656.84,,,,11382.80
2023-02-02,19320.44,,,,-40985.51
2023-02-03,17970.50,,,,6553.18
2023-02-04,19320.66,,,,2924.32
2023-02-05,19904.03,,,,4110.90
2023-02-06,21253.94,,,,5831.48
2023-02-07,20350.45,,,,7586.82
2023-02-08,22187.02,,,,9102.88
2023-02-09,19022.24,,,,-28161523.34
2023-02-10,20072.85,,,,-3651841.44
2023-02-11,18364.25,,,,839.15
2023-02-12,19359.80,,,,3274.40
2023-02-13,20685.49,,,,5409.82
2023-02-14,4551.35,0.00,,,7064.97
2023-02-15,22247.87,89.06,,,11106.50
2023-02-16,24587.24,398.16,,,-13104152.63
2023-02-17,27870.31,115.33,,,9819.09
2023-02-18,27801.59,0.24,,,-1160848.81
2023-02-19,31312.65,0.23,,,6062.87
2023-02-20,28326.98,63.72,,,6713.46
2023-02-21,44447.59,235.50,,,7608.78
2023-02-22,141757.32,148.39,,,16079.44
2023-02-23,34012.26,228.74,,,31031.26
2023-02-24,29222.49,12.23,,,38906.95
2023-02-25,27729.98,44.41,,,11722.80
2023-02-26,25979.44,5.09,,,9158.16
2023-02-27,33047.53,38.39,,,-2135.24
2023-02-28,28919.61,3.18,,,6839.34
2023-03-01,23198.15,30.84,,,9350.25
2023-03-02,27169.50,344.60,,,7472.76
2023-03-03,26455.47,281.40,,,-7020395.78
2023-03-04,21827.14,245.31,,,3174.63
2023-03-05,20370.97,179.59,,,3552.13
2023-03-06,21646.98,66.32,,,3759.59
2023-03-07,19998.84,6.02,,,8165.86
2023-03-08,22717.94,58.10,,,-993310.14
2023-03-09,25094.90,22.83,,,18525.42
2023-03-10,24382.82,83.11,,,-199478.85
2023-03-11,-4087.34,1.68,,,50361.25
2023-03-12,21216.54,41.56,,,10654.06
2023-03-13,26720.39,50.59,,,-217898.78
2023-03-14,27206.28,43.05,,,-568829.74
2023-03-15,32186.93,5.11,,,22205.74
2023-03-16,49013.63,2.08,,,13989.03
2023-03-17,39710.59,108.78,,,-119346.91
2023-03-18,42346.38,85.16,,,-644934.48
2023-03-19,47539.73,21.95,,,6546.07
2023-03-20,43482.33,379.94,,,-15928.56
2023-03-21,54494.95,33.76,,,9813.03
2023-03-22,52515.97,138.57,,,-1141122.16
2023-03-23,1496139.25,514.73,,,-41079.03
2023-03-24,63089.94,25690.73,,,-2252643.50
2023-03-25,47262.15,92639.60,,,6143.20
2023-03-26,47526.21,56392.06,,,7243.24
2023-03-27,56545.12,64329.03,,,16632.73
2023-03-28,46777.32,83475.78,,,16489.92
2023-03-29,45638.67,78870.77,,,-292056.91
2023-03-30,142309.17,70844.89,,,-5688.79
