Date,Liquity ($),Abracadabra.money ($),Reflexer ($),Angle ($),Origin DeFi ($),Vesta Finance ($),MakerDAO ($)
10/9/2022,4073.27,4581.16,0,0,1.25,515.74,0
10/10/2022,15283.9,6977.2,6615.68,0,5.65,56.99,0
10/11/2022,4183.84,4372.78,90.08,0,595.32,44.98,0
10/12/2022,14059.71,7405.4,36.41,0,12.54,123.77,0
10/13/2022,3937.58,10710.42,982.39,55926.82,442.71,236.08,0
10/14/2022,26290.79,2761.48,0,0,380.47,93.82,0
10/15/2022,22577.23,1920.43,141.08,0,1921.57,145.97,0
10/16/2022,11104.37,5152.46,3309.88,0,1168.64,165.43,0
10/17/2022,22359.1,6206.11,90.43,0,992.54,499.01,0
10/18/2022,14518.23,3468.64,0,0,106.37,415.3,0
10/19/2022,4674.62,7129.04,146.22,0,12475.4,35.65,0
10/20/2022,4776.47,6696.87,0,43286.32,373.9,5325.38,0
10/21/2022,13002.49,5753.62,1240.54,0,0,243.15,0
10/22/2022,10919.05,4240.95,0,0,0,22.02,0
10/23/2022,32829.09,5843.14,999.16,0,0,253.31,0
10/24/2022,19054.56,2516.95,713.67,0,0,207.27,0
10/25/2022,13441.7,3502.62,48069.83,0,0,199.25,0
10/26/2022,12473.7,3526.66,25369.16,0,0,530.92,0
10/27/2022,14866.06,12997.09,4433.88,42420.8,256.72,4936,0
10/28/2022,12654.23,3991.43,664.62,0,172.52,3563,0
10/29/2022,8681.61,5836.33,22.47,0,46.41,1051.93,0
10/30/2022,10718.34,5225.36,3484.09,0,823.04,1775.91,0
10/31/2022,25642.32,5201.8,410.42,0,21.91,427.98,0
11/1/2022,9327.85,2843.23,2643.95,0,2819.1,422.7,0
11/2/2022,6555.53,3536.58,1295.51,0,817.49,251.86,0
11/3/2022,8937.86,140708.99,0,46316.88,437.97,188.12,0
11/4/2022,33913.67,17216.91,6703.21,0,883.2,446.68,0
11/5/2022,20400.75,17378.98,166.1,0,270.75,81.41,0
11/6/2022,13914.18,6845.43,325.2,0,7.25,761.59,0
11/7/2022,19260.5,12550.98,0,0,475.18,36.6,0
11/8/2022,33477.46,6062.2,0,0,7989.61,300.63,0
11/9/2022,15812.82,7709.59,331.27,0,97.18,341.25,0
