Date,Livepeer (#),Chainlink (#),Worldcoin (#),The Graph (#),Ethereum Name Service (#),Gitcoin (#),Render Network (#),UMA (#),Aragon (#),Kleros (#),Tornado Cash (#),Bounce Finance (#),Arkham (#),Instadapp (#)
2021-06-21,2541687.00,546223.00,,62703.00,,17410.00,4125.00,14349.00,9299.00,8866.00,6574.00,2118.00,,1853.00
2021-06-22,2541419.00,546759.00,,62863.00,,17586.00,4124.00,14381.00,9316.00,8860.00,6580.00,2112.00,,1882.00
2021-06-23,2541330.00,547458.00,,63018.00,,17774.00,4131.00,14389.00,9335.00,8858.00,6630.00,2101.00,,1938.00
2021-06-24,2541232.00,547753.00,,63150.00,,17726.00,4131.00,14402.00,9352.00,8853.00,6670.00,2109.00,,2006.00
2021-06-25,2541194.00,548196.00,,63239.00,,17730.00,4129.00,14416.00,9355.00,8848.00,6685.00,2110.00,,2058.00
2021-06-26,2541082.00,548803.00,,63720.00,,17736.00,4130.00,14423.00,9370.00,8840.00,6703.00,2112.00,,2081.00
2021-06-27,2541015.00,549535.00,,63854.00,,17760.00,4133.00,14440.00,9406.00,8842.00,6709.00,2114.00,,2104.00
2021-06-28,2540971.00,550559.00,,64018.00,,17814.00,4142.00,14452.00,9645.00,8856.00,6737.00,2115.00,,2127.00
2021-06-29,2540915.00,551010.00,,63863.00,,17799.00,4150.00,14407.00,9700.00,8865.00,6750.00,2117.00,,2146.00
2021-06-30,2540885.00,550035.00,,63163.00,,17775.00,4157.00,14304.00,9715.00,8871.00,6746.00,2117.00,,2149.00
2021-07-01,2537706.00,550577.00,,63253.00,,17768.00,4157.00,14563.00,9731.00,8882.00,6750.00,2130.00,,2165.00
2021-07-02,2537615.00,551376.00,,63361.00,,17768.00,4162.00,14576.00,9744.00,8880.00,6757.00,2129.00,,2199.00
2021-07-03,2537534.00,551713.00,,63539.00,,17797.00,4172.00,14660.00,9753.00,8878.00,6762.00,2132.00,,2233.00
2021-07-04,2537448.00,551568.00,,63630.00,,17812.00,4179.00,14725.00,9757.00,8883.00,6784.00,2131.00,,2251.00
2021-07-05,2537239.00,552290.00,,63828.00,,17805.00,4178.00,14781.00,9762.00,8881.00,6799.00,2133.00,,2303.00
2021-07-06,2537187.00,553414.00,,63976.00,,17915.00,4184.00,14831.00,9785.00,8888.00,6814.00,2135.00,,2357.00
2021-07-07,2537069.00,554249.00,,64167.00,,17899.00,4196.00,14857.00,9796.00,8891.00,6815.00,2133.00,,2378.00
2021-07-08,2536745.00,554910.00,,66101.00,,17898.00,4312.00,14869.00,9784.00,8890.00,6813.00,2133.00,,2377.00
2021-07-09,2536686.00,555604.00,,66309.00,,17876.00,4354.00,14895.00,9804.00,8888.00,6816.00,2138.00,,2409.00
2021-07-10,2536610.00,555721.00,,66565.00,,17935.00,4367.00,14907.00,9810.00,8889.00,6827.00,2138.00,,2483.00
2021-07-11,2536525.00,555730.00,,66777.00,,17953.00,4368.00,14942.00,9825.00,8882.00,6838.00,2143.00,,2553.00
2021-07-12,2536472.00,556462.00,,66935.00,,17939.00,4371.00,14987.00,9835.00,8889.00,6843.00,2143.00,,2557.00
