Date,dYdX ($),Synthetix ($),GMX ($),Level Finance ($),Vertex ($),Lyra ($),ApolloX ($),Pendle ($),HMX ($),Perpetual Protocol ($),Kwenta ($),Mummy Finance ($),IPOR Protocol ($),Premia ($),Thales ($),Metavault.Trade ($),MUX ($),Pika Protocol ($),Holdstation ($),Buffer Finance ($)
6/3/2022,1062631.87,65149.57,6486.94,,,19500.65,3205.87,,,0,,,,224.69,789.11,219.34,0,,,
6/4/2022,35976.34,44263.08,24041.64,,,5026.09,72741.7,,,0,,,,562.04,955.36,794.96,0,,,
6/5/2022,14401.15,21906.35,10220.47,,,7090.21,1859.91,,,67.63,,,,1466.78,1168.94,388.31,0,,,
6/6/2022,10074.51,378717.48,29792.15,,,30311.83,5551.67,,,11977.14,,,,413.79,182.62,1811.35,2.41,,,
6/7/2022,114130.02,1275446.02,14283.83,,,7792.56,22453.94,,,635.69,,,,484.01,115.43,393.71,1.49,,,
6/8/2022,102489.02,1395797.3,20841.47,,,3417.4,114062.55,,,24.98,,,,2762.53,1903.74,1110.81,0,,,
6/9/2022,241087.76,2117786.85,8933.77,,,14575.83,660.69,,,37.66,,,,746.6,624.17,1170.18,0,,,
6/10/2022,38051.93,136019.22,12404.53,,,4746.75,489.15,,,0,,,,2379.65,880.51,1024,0,,,
6/11/2022,20067.29,31116.75,13458.28,,,4955.74,42379.54,,,216.95,,,,523.31,134.01,1201.92,0,,,
6/12/2022,65484.17,44212.58,14937.24,,,1792.27,20690.93,,,0,,,,890.36,396.7,497.38,0,,,
6/13/2022,36010.76,55916.68,114398.66,,,2670.84,8696.95,,,2409.07,,,,401.68,4374.6,599.45,0,,,
6/14/2022,202844.75,40014.03,21076.53,,,948.35,3237.89,,,7033.07,,,,1006.55,193.99,755.42,0,,,
6/15/2022,2146365.02,1863619.02,9891.63,,,2361.76,865.87,,,32108.64,,,,498.59,605.71,644.99,0,,,
6/16/2022,478324.23,528243.04,5601.4,,,14802.94,1388.77,,,2.07,,,,5397.07,970.52,429.89,0,,,
6/17/2022,413714.58,57715.33,11601.58,,,19079.37,998.44,,,106.41,,,,2479.58,9.58,10167.22,0,,,
6/18/2022,406462.93,71845.01,68967.91,,,2350.01,477.32,,,328.43,,,,4691.97,1634,320.59,0,,,
6/19/2022,56037.85,796571.66,8628.23,,,2332.28,847,,,16.34,,,,4180.77,24.34,992.49,0,,,
6/20/2022,60216.6,2127785.8,31814.02,,,6203.72,93054.7,,,2096.57,,,,8331.34,1072.7,3546.37,0,,,
